[I 2024-12-03 17:06:57,682] Using an existing study with name 'SST-2-GATv2-xlnet-xlnet-base-cased-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 17:21:18,668] Trial 176 finished with value: 0.8795871559633027 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5279918987499286, 'batch_size': 179, 'attention_heads': 13, 'hidden_dimension': 252, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3010655790002031, 'global_pooling': 'max', 'learning_rate': 0.002027083823306188, 'weight_decay': 1.3327738894932498e-05, 'beta_0': 0.8134116572097442, 'beta_1': 0.9833877054749176, 'epsilon': 3.5175859872486186e-07, 'balanced_loss': True, 'epochs': 64, 'early_stopping_patience': 25, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 19:51:10,721] Trial 187 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5584126528562952, 'batch_size': 167, 'attention_heads': 12, 'hidden_dimension': 241, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3067357047001491, 'global_pooling': 'mean', 'learning_rate': 0.0005911429316141306, 'weight_decay': 7.974314457004036e-06, 'beta_0': 0.8574261869106956, 'beta_1': 0.9810290438606388, 'epsilon': 1.040282545391423e-06, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 20:05:23,794] Trial 188 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5619012657137877, 'batch_size': 168, 'attention_heads': 12, 'hidden_dimension': 237, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3084964990029375, 'global_pooling': 'mean', 'learning_rate': 0.0005891902115619778, 'weight_decay': 4.04321110444652e-06, 'beta_0': 0.8579692674722897, 'beta_1': 0.9810012112163827, 'epsilon': 1.7989883100515178e-06, 'balanced_loss': True, 'epochs': 121, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 5}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 20:18:58,527] Trial 189 finished with value: 0.8899082568807339 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5275927407530632, 'batch_size': 175, 'attention_heads': 13, 'hidden_dimension': 245, 'number_of_hidden_layers': 4, 'dropout_rate': 0.31962365735677173, 'global_pooling': 'mean', 'learning_rate': 0.0004911519524619641, 'weight_decay': 8.292318730545633e-06, 'beta_0': 0.8564406796682429, 'beta_1': 0.9805992200984261, 'epsilon': 1.3687950229636468e-06, 'balanced_loss': True, 'epochs': 117, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 20:30:17,540] Trial 190 finished with value: 0.8818807339449541 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5532062713180854, 'batch_size': 167, 'attention_heads': 12, 'hidden_dimension': 250, 'number_of_hidden_layers': 3, 'dropout_rate': 0.30475635113183597, 'global_pooling': 'mean', 'learning_rate': 0.0012527860653001868, 'weight_decay': 2.9225614452113538e-06, 'beta_0': 0.8977211327209182, 'beta_1': 0.9810874616460227, 'epsilon': 8.185060367785331e-07, 'balanced_loss': True, 'epochs': 124, 'early_stopping_patience': 23, 'plateau_patience': 16, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 20:45:13,854] Trial 191 finished with value: 0.8784403669724771 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.5432870512233551, 'batch_size': 189, 'attention_heads': 12, 'hidden_dimension': 239, 'number_of_hidden_layers': 4, 'dropout_rate': 0.30070058904761704, 'global_pooling': 'mean', 'learning_rate': 0.0003371142981216811, 'weight_decay': 5.8848465632958834e-06, 'beta_0': 0.853471758647431, 'beta_1': 0.9841785084647863, 'epsilon': 3.1008924200271204e-07, 'balanced_loss': True, 'epochs': 68, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 3}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 20:58:39,402] Trial 192 finished with value: 0.8830275229357798 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5750080522939996, 'batch_size': 181, 'attention_heads': 13, 'hidden_dimension': 230, 'number_of_hidden_layers': 4, 'dropout_rate': 0.31359016801247913, 'global_pooling': 'mean', 'learning_rate': 0.0032234138771322436, 'weight_decay': 7.437036500683682e-06, 'beta_0': 0.8286213130867967, 'beta_1': 0.9847438903876896, 'epsilon': 5.5246420408124e-07, 'balanced_loss': True, 'epochs': 119, 'early_stopping_patience': 24, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 21:11:30,663] Trial 193 finished with value: 0.8795871559633027 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5816916217948991, 'batch_size': 171, 'attention_heads': 11, 'hidden_dimension': 256, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3212020759083543, 'global_pooling': 'mean', 'learning_rate': 0.0007369210821017519, 'weight_decay': 9.277990354188454e-06, 'beta_0': 0.8643087452181993, 'beta_1': 0.9949936378341631, 'epsilon': 1.050321049215993e-06, 'balanced_loss': True, 'epochs': 109, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 21:23:44,440] Trial 194 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5336187559437299, 'batch_size': 200, 'attention_heads': 11, 'hidden_dimension': 244, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3109553829070295, 'global_pooling': 'mean', 'learning_rate': 0.0010263461739536508, 'weight_decay': 1.67785128184042e-05, 'beta_0': 0.8613304896847306, 'beta_1': 0.9827663502194826, 'epsilon': 1.212550402983791e-06, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 21, 'plateau_patience': 17, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 21:36:29,747] Trial 195 finished with value: 0.8807339449541285 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6383469949524894, 'batch_size': 192, 'attention_heads': 14, 'hidden_dimension': 209, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3275243524463215, 'global_pooling': 'mean', 'learning_rate': 0.0005735238208903313, 'weight_decay': 1.2594939931382755e-05, 'beta_0': 0.8674084306704501, 'beta_1': 0.981584837000535, 'epsilon': 9.545546456669229e-07, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 23, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 21:47:14,963] Trial 196 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5912544142127577, 'batch_size': 179, 'attention_heads': 11, 'hidden_dimension': 219, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3061148027227724, 'global_pooling': 'mean', 'learning_rate': 0.002238326334656803, 'weight_decay': 3.4002518356524248e-06, 'beta_0': 0.8634146044044452, 'beta_1': 0.9832569751413969, 'epsilon': 7.407246132711299e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 21:58:22,840] Trial 197 finished with value: 0.8818807339449541 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5606788348918473, 'batch_size': 178, 'attention_heads': 12, 'hidden_dimension': 222, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3053111497920978, 'global_pooling': 'mean', 'learning_rate': 0.002252246449679981, 'weight_decay': 3.2655079251476757e-06, 'beta_0': 0.8713688518876755, 'beta_1': 0.9831643576482653, 'epsilon': 6.553580943209514e-07, 'balanced_loss': True, 'epochs': 127, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 22:07:22,622] Trial 198 finished with value: 0.8864678899082569 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6603623580621636, 'batch_size': 186, 'attention_heads': 10, 'hidden_dimension': 213, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3149207210799407, 'global_pooling': 'mean', 'learning_rate': 0.001856921008715339, 'weight_decay': 2.751615929406896e-06, 'beta_0': 0.8931659934605383, 'beta_1': 0.983804586575897, 'epsilon': 6.572343765224647e-05, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 20, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 22:17:16,302] Trial 199 finished with value: 0.8784403669724771 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.671705865570836, 'batch_size': 174, 'attention_heads': 11, 'hidden_dimension': 235, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3110558189656865, 'global_pooling': 'mean', 'learning_rate': 0.00272940442073663, 'weight_decay': 2.3139695986139606e-06, 'beta_0': 0.8520576881484633, 'beta_1': 0.9844214064387244, 'epsilon': 4.2258678751098366e-07, 'balanced_loss': True, 'epochs': 55, 'early_stopping_patience': 17, 'plateau_patience': 15, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 22:28:18,135] Trial 200 finished with value: 0.8853211009174312 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5476745135594843, 'batch_size': 182, 'attention_heads': 11, 'hidden_dimension': 218, 'number_of_hidden_layers': 4, 'dropout_rate': 0.30071638759567637, 'global_pooling': 'mean', 'learning_rate': 0.0013019161188940142, 'weight_decay': 4.432707991721417e-06, 'beta_0': 0.8600859955650791, 'beta_1': 0.9837241747906222, 'epsilon': 7.933707863260982e-07, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 23, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 22:47:10,554] Trial 201 finished with value: 0.8612385321100917 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5208419393179542, 'batch_size': 162, 'attention_heads': 13, 'hidden_dimension': 226, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3235674879891624, 'global_pooling': 'mean', 'learning_rate': 6.567116427015704e-05, 'weight_decay': 3.5526180324820704e-06, 'beta_0': 0.86457844738831, 'beta_1': 0.9834551605478069, 'epsilon': 4.971933065304954e-07, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 22, 'plateau_patience': 12, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 22:52:58,895] Trial 202 finished with value: 0.8761467889908257 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.9492781090307063, 'batch_size': 178, 'attention_heads': 12, 'hidden_dimension': 121, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3063023041590183, 'global_pooling': 'mean', 'learning_rate': 0.0021143691556938463, 'weight_decay': 4.975505317999616e-06, 'beta_0': 0.8548632186019645, 'beta_1': 0.9851061645403966, 'epsilon': 5.810533636893654e-07, 'balanced_loss': True, 'epochs': 115, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 23:00:46,600] Trial 203 finished with value: 0.8944954128440367 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5899968915291799, 'batch_size': 187, 'attention_heads': 7, 'hidden_dimension': 196, 'number_of_hidden_layers': 4, 'dropout_rate': 0.35620291704314994, 'global_pooling': 'mean', 'learning_rate': 0.0014739424333332445, 'weight_decay': 1.5200224787857858e-05, 'beta_0': 0.862830585670343, 'beta_1': 0.9823922161531875, 'epsilon': 9.45365186504206e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 23:08:05,716] Trial 204 finished with value: 0.8876146788990825 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5908055283332402, 'batch_size': 128, 'attention_heads': 7, 'hidden_dimension': 186, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3171121690086031, 'global_pooling': 'mean', 'learning_rate': 0.0015556857508763635, 'weight_decay': 2.0722339937401e-05, 'beta_0': 0.863018115981496, 'beta_1': 0.9821790121712032, 'epsilon': 7.280478247589934e-07, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 21, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 23:16:22,885] Trial 205 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6101401142292859, 'batch_size': 187, 'attention_heads': 7, 'hidden_dimension': 247, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3635709088006536, 'global_pooling': 'mean', 'learning_rate': 0.0011839081308290082, 'weight_decay': 1.5001897407997866e-05, 'beta_0': 0.8661610031985794, 'beta_1': 0.982974704477987, 'epsilon': 3.698085686902307e-06, 'balanced_loss': True, 'epochs': 83, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 23:24:43,540] Trial 206 finished with value: 0.8910550458715596 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5721909369491107, 'batch_size': 183, 'attention_heads': 8, 'hidden_dimension': 193, 'number_of_hidden_layers': 4, 'dropout_rate': 0.33796861423699204, 'global_pooling': 'mean', 'learning_rate': 0.0016422406607372478, 'weight_decay': 3.0804596245115004e-06, 'beta_0': 0.8950602937627362, 'beta_1': 0.9825740188493411, 'epsilon': 8.837900337374982e-07, 'balanced_loss': True, 'epochs': 119, 'early_stopping_patience': 20, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 23:32:58,925] Trial 207 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.6285411719324545, 'batch_size': 193, 'attention_heads': 7, 'hidden_dimension': 208, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3095270477579586, 'global_pooling': 'mean', 'learning_rate': 0.0004724322866189002, 'weight_decay': 3.5509989344637862e-06, 'beta_0': 0.8576491295022196, 'beta_1': 0.9817448490906827, 'epsilon': 1.2788921905678399e-06, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 21, 'plateau_patience': 13, 'plateau_divider': 5}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 23:40:05,115] Trial 208 finished with value: 0.8887614678899083 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5649430924640149, 'batch_size': 173, 'attention_heads': 8, 'hidden_dimension': 128, 'number_of_hidden_layers': 4, 'dropout_rate': 0.37004279865571865, 'global_pooling': 'mean', 'learning_rate': 0.000807935732100471, 'weight_decay': 4.1027447522388136e-06, 'beta_0': 0.8685417603597306, 'beta_1': 0.9841518013979816, 'epsilon': 1.978716523261865e-06, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 22, 'plateau_patience': 11, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-03 23:53:04,106] Trial 209 finished with value: 0.8830275229357798 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5346966396748641, 'batch_size': 179, 'attention_heads': 11, 'hidden_dimension': 251, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3180445864053995, 'global_pooling': 'mean', 'learning_rate': 0.0006551073013036562, 'weight_decay': 2.2992398852995617e-05, 'beta_0': 0.8616503842317086, 'beta_1': 0.983221606166207, 'epsilon': 1.478950983842416e-06, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 24, 'plateau_patience': 12, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 00:00:31,875] Trial 210 finished with value: 0.8887614678899083 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5844101028090221, 'batch_size': 189, 'attention_heads': 7, 'hidden_dimension': 161, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3528052083054925, 'global_pooling': 'max', 'learning_rate': 0.002283079641905275, 'weight_decay': 2.6687330193860173e-05, 'beta_0': 0.8489041053404369, 'beta_1': 0.9847279634388626, 'epsilon': 1.0000767789161064e-06, 'balanced_loss': True, 'epochs': 125, 'early_stopping_patience': 22, 'plateau_patience': 13, 'plateau_divider': 7}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 00:08:27,061] Trial 211 finished with value: 0.8841743119266054 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5507405286548274, 'batch_size': 166, 'attention_heads': 10, 'hidden_dimension': 140, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3297842082786971, 'global_pooling': 'mean', 'learning_rate': 0.0010945331565135725, 'weight_decay': 2.637251332554039e-06, 'beta_0': 0.8982095602163751, 'beta_1': 0.9819165987995896, 'epsilon': 6.489439329555125e-07, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 25, 'plateau_patience': 16, 'plateau_divider': 6}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 00:17:01,548] Trial 212 finished with value: 0.8841743119266054 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5944676434302524, 'batch_size': 171, 'attention_heads': 9, 'hidden_dimension': 215, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3002493389799304, 'global_pooling': 'mean', 'learning_rate': 0.0013321511002003278, 'weight_decay': 1.9748308043125645e-06, 'beta_0': 0.8599874797440142, 'beta_1': 0.9823198301279634, 'epsilon': 4.229417224404044e-07, 'balanced_loss': True, 'epochs': 160, 'early_stopping_patience': 21, 'plateau_patience': 14, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
[I 2024-12-04 00:27:22,345] Trial 213 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'mean', 'threshold': 0.5897850478501917, 'batch_size': 206, 'attention_heads': 11, 'hidden_dimension': 197, 'number_of_hidden_layers': 4, 'dropout_rate': 0.3574519955773295, 'global_pooling': 'mean', 'learning_rate': 0.0009453791090389891, 'weight_decay': 1.0773001678319367e-05, 'beta_0': 0.8639374649135447, 'beta_1': 0.9827362004794364, 'epsilon': 1.0989547955920578e-06, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 21, 'plateau_patience': 11, 'plateau_divider': 4}. Best is trial 103 with value: 0.9002293577981652.
