Some weights of RobertaModel were not initialized from the model checkpoint at FacebookAI/roberta-base and are newly initialized: ['roberta.pooler.dense.bias', 'roberta.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[I 2024-12-03 05:06:00,691] Using an existing study with name 'SST-2-GATv2-FacebookAI-roberta-base-Grouped-No_Aggregation' instead of creating a new one.
[I 2024-12-03 05:10:56,016] Trial 146 finished with value: 0.9243119266055045 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6271186508002639, 'batch_size': 205, 'attention_heads': 12, 'hidden_dimension': 152, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4523201568725973, 'global_pooling': 'max', 'learning_rate': 0.0015886096861535731, 'weight_decay': 0.0005680471842307092, 'beta_0': 0.8189821496792518, 'beta_1': 0.9966650625341859, 'epsilon': 2.616372779039178e-05, 'balanced_loss': True, 'epochs': 188, 'early_stopping_patience': 24, 'plateau_patience': 17, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:02:10,543] Trial 157 finished with value: 0.911697247706422 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.5841998901334365, 'batch_size': 206, 'attention_heads': 13, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4786985930005777, 'global_pooling': 'max', 'learning_rate': 0.00015989629576388268, 'weight_decay': 0.0007146845932305305, 'beta_0': 0.8075164938301382, 'beta_1': 0.997924014857997, 'epsilon': 4.50426601910587e-05, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 24, 'plateau_patience': 24, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:06:34,048] Trial 158 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.6632479740416845, 'batch_size': 190, 'attention_heads': 12, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4705277859903358, 'global_pooling': 'max', 'learning_rate': 0.0006465550277803291, 'weight_decay': 0.0007921740755982586, 'beta_0': 0.8160812582155929, 'beta_1': 0.9969156891438165, 'epsilon': 2.0276377700930363e-06, 'balanced_loss': True, 'epochs': 189, 'early_stopping_patience': 16, 'plateau_patience': 15, 'plateau_divider': 4}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:10:38,832] Trial 159 finished with value: 0.8520642201834863 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6177378847444611, 'batch_size': 224, 'attention_heads': 14, 'hidden_dimension': 181, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5540188030309766, 'global_pooling': 'max', 'learning_rate': 0.0866438695660128, 'weight_decay': 0.0005194594568620251, 'beta_0': 0.8228587795149064, 'beta_1': 0.9892662005584175, 'epsilon': 7.094378334462223e-05, 'balanced_loss': True, 'epochs': 177, 'early_stopping_patience': 11, 'plateau_patience': 13, 'plateau_divider': 3}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:14:46,110] Trial 160 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.683609074663185, 'batch_size': 148, 'attention_heads': 11, 'hidden_dimension': 160, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5771110110926753, 'global_pooling': 'max', 'learning_rate': 0.0014559635835763496, 'weight_decay': 0.0001350695889749535, 'beta_0': 0.8118415574051877, 'beta_1': 0.9934816153414291, 'epsilon': 1.790429048868373e-05, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 10, 'plateau_patience': 17, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:19:56,026] Trial 161 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.5996395173022777, 'batch_size': 142, 'attention_heads': 13, 'hidden_dimension': 176, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5715720921289035, 'global_pooling': 'max', 'learning_rate': 0.010650128449279437, 'weight_decay': 0.00028170714690877444, 'beta_0': 0.8295291205451135, 'beta_1': 0.9964471491073075, 'epsilon': 3.4797144583937934e-05, 'balanced_loss': True, 'epochs': 185, 'early_stopping_patience': 24, 'plateau_patience': 14, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:23:56,345] Trial 162 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6432645940830334, 'batch_size': 194, 'attention_heads': 12, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4605903011692069, 'global_pooling': 'max', 'learning_rate': 0.0011837265034115388, 'weight_decay': 2.7469701095852432e-05, 'beta_0': 0.8088399963449489, 'beta_1': 0.9979842670422294, 'epsilon': 2.7793731394295873e-05, 'balanced_loss': True, 'epochs': 54, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:28:02,108] Trial 163 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6485741566375858, 'batch_size': 202, 'attention_heads': 12, 'hidden_dimension': 140, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4380671719955669, 'global_pooling': 'max', 'learning_rate': 0.0010273454910454053, 'weight_decay': 3.290439461184901e-05, 'beta_0': 0.8018600824380931, 'beta_1': 0.9989619364925625, 'epsilon': 2.693749999755303e-05, 'balanced_loss': True, 'epochs': 56, 'early_stopping_patience': 11, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:32:24,212] Trial 164 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6294879083916698, 'batch_size': 188, 'attention_heads': 12, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.45802216821180725, 'global_pooling': 'max', 'learning_rate': 0.0008152543365998503, 'weight_decay': 2.1426371228852527e-05, 'beta_0': 0.8185569865354683, 'beta_1': 0.9976035698626362, 'epsilon': 4.10750710156039e-05, 'balanced_loss': True, 'epochs': 53, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 7}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:36:26,492] Trial 165 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6734215355357202, 'batch_size': 182, 'attention_heads': 11, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.44766832968670983, 'global_pooling': 'max', 'learning_rate': 0.0012574808899717869, 'weight_decay': 1.6477571373991592e-05, 'beta_0': 0.8469529119935286, 'beta_1': 0.997271335599905, 'epsilon': 2.156459404083235e-05, 'balanced_loss': True, 'epochs': 62, 'early_stopping_patience': 10, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:40:28,420] Trial 166 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.672940946542706, 'batch_size': 174, 'attention_heads': 11, 'hidden_dimension': 166, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4473770845035388, 'global_pooling': 'max', 'learning_rate': 0.0017477154370443323, 'weight_decay': 1.54680237807652e-05, 'beta_0': 0.8458447862836121, 'beta_1': 0.9981977505399359, 'epsilon': 5.510852592646189e-05, 'balanced_loss': True, 'epochs': 61, 'early_stopping_patience': 11, 'plateau_patience': 11, 'plateau_divider': 2}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:44:25,918] Trial 167 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6611898686862049, 'batch_size': 168, 'attention_heads': 11, 'hidden_dimension': 136, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4351699934936336, 'global_pooling': 'max', 'learning_rate': 0.002188998657951788, 'weight_decay': 1.8481942931008707e-05, 'beta_0': 0.8058090348601264, 'beta_1': 0.9973743033851908, 'epsilon': 3.1247181369877444e-05, 'balanced_loss': True, 'epochs': 56, 'early_stopping_patience': 12, 'plateau_patience': 10, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:48:53,078] Trial 168 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6966042256113457, 'batch_size': 179, 'attention_heads': 10, 'hidden_dimension': 131, 'number_of_hidden_layers': 3, 'dropout_rate': 0.4531151164325101, 'global_pooling': 'max', 'learning_rate': 0.0010748668911098685, 'weight_decay': 1.6867629462148362e-05, 'beta_0': 0.8585735240062555, 'beta_1': 0.993893616095099, 'epsilon': 2.287506599051712e-05, 'balanced_loss': True, 'epochs': 50, 'early_stopping_patience': 10, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:53:08,413] Trial 169 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6749923800187213, 'batch_size': 182, 'attention_heads': 12, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46327709945325724, 'global_pooling': 'max', 'learning_rate': 0.0012572820751797144, 'weight_decay': 2.1957658786731123e-05, 'beta_0': 0.8830846057835314, 'beta_1': 0.9979007322519823, 'epsilon': 4.125985589291443e-05, 'balanced_loss': False, 'epochs': 126, 'early_stopping_patience': 11, 'plateau_patience': 12, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 06:59:17,673] Trial 170 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6548755467578039, 'batch_size': 153, 'attention_heads': 11, 'hidden_dimension': 190, 'number_of_hidden_layers': 1, 'dropout_rate': 0.42229971262141286, 'global_pooling': 'max', 'learning_rate': 1.256701112083558e-05, 'weight_decay': 2.7192417186259496e-05, 'beta_0': 0.8090841564781466, 'beta_1': 0.9968776414416112, 'epsilon': 9.134203615907532e-06, 'balanced_loss': True, 'epochs': 58, 'early_stopping_patience': 16, 'plateau_patience': 10, 'plateau_divider': 6}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:03:57,453] Trial 171 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6457167386634107, 'batch_size': 70, 'attention_heads': 16, 'hidden_dimension': 160, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4453802272884146, 'global_pooling': 'max', 'learning_rate': 0.0007455984445985647, 'weight_decay': 9.181119211653425e-05, 'beta_0': 0.8996327057024166, 'beta_1': 0.9971182723241419, 'epsilon': 4.637636635007075e-06, 'balanced_loss': True, 'epochs': 169, 'early_stopping_patience': 19, 'plateau_patience': 22, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:07:56,117] Trial 172 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6335595195660463, 'batch_size': 193, 'attention_heads': 12, 'hidden_dimension': 150, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47052853030880215, 'global_pooling': 'max', 'learning_rate': 0.0015320447729781064, 'weight_decay': 3.968308413252095e-05, 'beta_0': 0.8146414889481759, 'beta_1': 0.9960631018991818, 'epsilon': 2.0277194728821995e-05, 'balanced_loss': True, 'epochs': 63, 'early_stopping_patience': 10, 'plateau_patience': 11, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:11:47,440] Trial 173 finished with value: 0.9185779816513762 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.841797837382849, 'batch_size': 195, 'attention_heads': 13, 'hidden_dimension': 145, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4603384260185709, 'global_pooling': 'max', 'learning_rate': 0.0012651951145553277, 'weight_decay': 2.542805928295971e-05, 'beta_0': 0.8038996416436698, 'beta_1': 0.9965758833068933, 'epsilon': 2.60321769668952e-05, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 10, 'plateau_patience': 16, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:16:10,807] Trial 174 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6149337249954133, 'batch_size': 188, 'attention_heads': 13, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5282372239760892, 'global_pooling': 'max', 'learning_rate': 0.0009280911010573561, 'weight_decay': 2.9914307121145967e-05, 'beta_0': 0.8388468180722362, 'beta_1': 0.9951863628312929, 'epsilon': 1.92825491465714e-05, 'balanced_loss': True, 'epochs': 175, 'early_stopping_patience': 10, 'plateau_patience': 14, 'plateau_divider': 7}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:20:09,718] Trial 175 finished with value: 0.9220183486238532 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6846835506174973, 'batch_size': 198, 'attention_heads': 12, 'hidden_dimension': 140, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4821585784536109, 'global_pooling': 'max', 'learning_rate': 0.0017173805208404009, 'weight_decay': 1.952660674416933e-05, 'beta_0': 0.8111254178616465, 'beta_1': 0.9974606664902261, 'epsilon': 1.513899973624378e-05, 'balanced_loss': True, 'epochs': 54, 'early_stopping_patience': 10, 'plateau_patience': 12, 'plateau_divider': 9}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:25:01,317] Trial 176 finished with value: 0.9208715596330275 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.6631796535460381, 'batch_size': 159, 'attention_heads': 13, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4960428897335974, 'global_pooling': 'max', 'learning_rate': 0.00047662278965852195, 'weight_decay': 3.31121641454212e-05, 'beta_0': 0.8484420388589803, 'beta_1': 0.9908923348072639, 'epsilon': 3.3714525561482825e-05, 'balanced_loss': True, 'epochs': 65, 'early_stopping_patience': 11, 'plateau_patience': 15, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:29:23,952] Trial 177 finished with value: 0.911697247706422 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6416922246529103, 'batch_size': 211, 'attention_heads': 13, 'hidden_dimension': 149, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4518572051439882, 'global_pooling': 'max', 'learning_rate': 0.00021747379069466953, 'weight_decay': 5.176642317810812e-05, 'beta_0': 0.8197666981744012, 'beta_1': 0.9958445957675445, 'epsilon': 2.883778534387009e-05, 'balanced_loss': True, 'epochs': 60, 'early_stopping_patience': 11, 'plateau_patience': 25, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:33:45,220] Trial 178 finished with value: 0.9162844036697247 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.6237216405375601, 'batch_size': 185, 'attention_heads': 12, 'hidden_dimension': 164, 'number_of_hidden_layers': 1, 'dropout_rate': 0.56652315874207, 'global_pooling': 'max', 'learning_rate': 0.0012626192691218671, 'weight_decay': 2.199770270192016e-05, 'beta_0': 0.8132764647595877, 'beta_1': 0.9920632750798217, 'epsilon': 4.7056291138132596e-05, 'balanced_loss': True, 'epochs': 173, 'early_stopping_patience': 12, 'plateau_patience': 16, 'plateau_divider': 5}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:38:07,361] Trial 179 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'mean', 'threshold': 0.6072381269590851, 'batch_size': 206, 'attention_heads': 13, 'hidden_dimension': 143, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4759583685957831, 'global_pooling': 'max', 'learning_rate': 0.0006121786924746851, 'weight_decay': 0.0008442827992827508, 'beta_0': 0.8661317493882638, 'beta_1': 0.9984724787046051, 'epsilon': 2.534035215274198e-05, 'balanced_loss': False, 'epochs': 177, 'early_stopping_patience': 10, 'plateau_patience': 11, 'plateau_divider': 10}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:42:55,752] Trial 180 finished with value: 0.9254587155963303 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6641665003107691, 'batch_size': 90, 'attention_heads': 16, 'hidden_dimension': 186, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5427016929131203, 'global_pooling': 'max', 'learning_rate': 0.0021096752494200025, 'weight_decay': 4.3456599162982316e-05, 'beta_0': 0.8171077922397061, 'beta_1': 0.9968415135012907, 'epsilon': 2.487703425838055e-07, 'balanced_loss': True, 'epochs': 180, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:48:21,728] Trial 181 finished with value: 0.9128440366972477 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6682181332300554, 'batch_size': 113, 'attention_heads': 16, 'hidden_dimension': 185, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5433163174117305, 'global_pooling': 'sum', 'learning_rate': 0.002287451614490484, 'weight_decay': 7.81212228363343e-05, 'beta_0': 0.8217507384944484, 'beta_1': 0.9978491714380314, 'epsilon': 4.329993052034968e-07, 'balanced_loss': True, 'epochs': 184, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:53:25,759] Trial 182 finished with value: 0.9197247706422018 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6511889713438604, 'batch_size': 92, 'attention_heads': 16, 'hidden_dimension': 206, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5531615977647589, 'global_pooling': 'max', 'learning_rate': 0.0020265841420459853, 'weight_decay': 4.537760828287419e-05, 'beta_0': 0.81731032814483, 'beta_1': 0.9969835132126292, 'epsilon': 2.3026167485633452e-07, 'balanced_loss': True, 'epochs': 178, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
[I 2024-12-03 07:58:19,130] Trial 183 finished with value: 0.9174311926605505 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'mean', 'threshold': 0.6358598406758539, 'batch_size': 80, 'attention_heads': 16, 'hidden_dimension': 197, 'number_of_hidden_layers': 1, 'dropout_rate': 0.54103855692185, 'global_pooling': 'max', 'learning_rate': 0.0016380364702872517, 'weight_decay': 5.701467340092187e-05, 'beta_0': 0.8159873091053271, 'beta_1': 0.9965074471866161, 'epsilon': 2.0916092264574366e-05, 'balanced_loss': True, 'epochs': 181, 'early_stopping_patience': 11, 'plateau_patience': 24, 'plateau_divider': 8}. Best is trial 104 with value: 0.926605504587156.
