[I 2025-03-23 05:44:16,195] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
[I 2025-03-23 05:48:29,818] Trial 132 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5453195751413947, 'batch_size': 102, 'attention_heads': 8, 'hidden_dimension': 186, 'number_of_hidden_layers': 1, 'dropout_rate': 0.473529976279303, 'global_pooling': 'mean', 'learning_rate': 0.00045722149817902235, 'weight_decay': 8.476135191720784e-05, 'beta_0': 0.8393064806940972, 'beta_1': 0.9833632733962632, 'epsilon': 3.885818221250552e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 14, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:34:22,938] Trial 143 finished with value: 0.9105504587155964 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5804963510569704, 'batch_size': 84, 'attention_heads': 8, 'hidden_dimension': 112, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5425942600048275, 'global_pooling': 'mean', 'learning_rate': 0.0011438676773323085, 'weight_decay': 2.1543368997945296e-06, 'beta_0': 0.8798497844280571, 'beta_1': 0.9808033099684005, 'epsilon': 3.075976944055488e-07, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 13, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:38:15,163] Trial 144 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6524432155892268, 'batch_size': 93, 'attention_heads': 6, 'hidden_dimension': 110, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5654971687084289, 'global_pooling': 'mean', 'learning_rate': 0.001091185358439844, 'weight_decay': 1.358588348792853e-06, 'beta_0': 0.8734690390970263, 'beta_1': 0.9809459991813696, 'epsilon': 4.723954917722655e-07, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:42:24,503] Trial 145 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5946472672706681, 'batch_size': 75, 'attention_heads': 8, 'hidden_dimension': 130, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5483059797687457, 'global_pooling': 'mean', 'learning_rate': 0.0021504101223567625, 'weight_decay': 9.658524449309988e-05, 'beta_0': 0.8889080415508368, 'beta_1': 0.9815721617756878, 'epsilon': 2.409039160643844e-07, 'balanced_loss': True, 'epochs': 107, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:46:18,138] Trial 146 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5367700557501391, 'batch_size': 101, 'attention_heads': 8, 'hidden_dimension': 132, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5565687608991138, 'global_pooling': 'mean', 'learning_rate': 0.0017550674762049979, 'weight_decay': 5.330032864248379e-06, 'beta_0': 0.8787765063060496, 'beta_1': 0.9810406712965015, 'epsilon': 6.988509925959459e-07, 'balanced_loss': True, 'epochs': 115, 'early_stopping_patience': 12, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:50:10,122] Trial 147 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.5460306453345246, 'batch_size': 89, 'attention_heads': 7, 'hidden_dimension': 117, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5808284415979281, 'global_pooling': 'mean', 'learning_rate': 0.0009342784648948488, 'weight_decay': 2.007748271191743e-06, 'beta_0': 0.884421608780034, 'beta_1': 0.9801760701116897, 'epsilon': 1.5230582511806677e-07, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:54:05,847] Trial 148 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5588140772622099, 'batch_size': 69, 'attention_heads': 8, 'hidden_dimension': 126, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5466036099407205, 'global_pooling': 'mean', 'learning_rate': 0.0006417778931051457, 'weight_decay': 0.00011679636222892199, 'beta_0': 0.87569666070409, 'beta_1': 0.9817423569649482, 'epsilon': 3.4680670117540175e-07, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 13, 'plateau_patience': 20, 'plateau_divider': 8}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 06:57:58,396] Trial 149 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5273816176007988, 'batch_size': 99, 'attention_heads': 9, 'hidden_dimension': 86, 'number_of_hidden_layers': 1, 'dropout_rate': 0.567126060358496, 'global_pooling': 'mean', 'learning_rate': 0.0011104354629295704, 'weight_decay': 8.38629627000096e-05, 'beta_0': 0.8797410722266438, 'beta_1': 0.9819808359207474, 'epsilon': 4.2548009308141944e-07, 'balanced_loss': True, 'epochs': 111, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:01:53,162] Trial 150 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5854567879350744, 'batch_size': 84, 'attention_heads': 6, 'hidden_dimension': 105, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5413460142509615, 'global_pooling': 'mean', 'learning_rate': 0.0005509358096013076, 'weight_decay': 3.3373269615791567e-06, 'beta_0': 0.8815075520841966, 'beta_1': 0.9825728684797346, 'epsilon': 1.910492841846881e-07, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 12, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:05:41,458] Trial 151 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5980726458200094, 'batch_size': 94, 'attention_heads': 7, 'hidden_dimension': 113, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5282139002154106, 'global_pooling': 'mean', 'learning_rate': 0.000823715881863868, 'weight_decay': 0.00010006445460695687, 'beta_0': 0.8691828787345699, 'beta_1': 0.9813056248758959, 'epsilon': 5.653218978653683e-07, 'balanced_loss': True, 'epochs': 98, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:09:51,453] Trial 152 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6076904664455957, 'batch_size': 83, 'attention_heads': 8, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5556555014313619, 'global_pooling': 'mean', 'learning_rate': 0.001375581708082775, 'weight_decay': 1.029904476432445e-06, 'beta_0': 0.8858134447300023, 'beta_1': 0.9808583042463767, 'epsilon': 3.0034032314231255e-07, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:13:48,539] Trial 153 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6157926843408288, 'batch_size': 89, 'attention_heads': 8, 'hidden_dimension': 156, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5568847565101015, 'global_pooling': 'mean', 'learning_rate': 0.0015677498179977295, 'weight_decay': 1.5682895460804318e-06, 'beta_0': 0.885242341983955, 'beta_1': 0.9804969417157714, 'epsilon': 3.051521842867022e-07, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:17:39,950] Trial 154 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6417790496298746, 'batch_size': 79, 'attention_heads': 8, 'hidden_dimension': 121, 'number_of_hidden_layers': 1, 'dropout_rate': 0.571172482214584, 'global_pooling': 'mean', 'learning_rate': 0.0012498352229307424, 'weight_decay': 1.0125156458849634e-06, 'beta_0': 0.8908470319315721, 'beta_1': 0.9926588487027107, 'epsilon': 3.9680166557760475e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:21:56,009] Trial 155 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.520088388932038, 'batch_size': 73, 'attention_heads': 9, 'hidden_dimension': 190, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5630476625900095, 'global_pooling': 'mean', 'learning_rate': 0.0023231401396710187, 'weight_decay': 1.1109531867560725e-06, 'beta_0': 0.8842182647400665, 'beta_1': 0.9916345648075714, 'epsilon': 2.163485569206485e-07, 'balanced_loss': True, 'epochs': 89, 'early_stopping_patience': 11, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:26:18,145] Trial 156 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5024240806601972, 'batch_size': 105, 'attention_heads': 7, 'hidden_dimension': 147, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5762026439361642, 'global_pooling': 'mean', 'learning_rate': 0.0006955708451298387, 'weight_decay': 3.3088848970533524e-06, 'beta_0': 0.8869903991073336, 'beta_1': 0.9806952547024985, 'epsilon': 9.510580561559914e-08, 'balanced_loss': True, 'epochs': 101, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:30:05,251] Trial 157 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.609853712039292, 'batch_size': 81, 'attention_heads': 9, 'hidden_dimension': 48, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5588295313438055, 'global_pooling': 'mean', 'learning_rate': 0.0009522149911987858, 'weight_decay': 2.079257652859424e-06, 'beta_0': 0.8376511201859544, 'beta_1': 0.981259153703401, 'epsilon': 1.8059686546132735e-08, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 12, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:34:05,102] Trial 158 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5170869061561116, 'batch_size': 86, 'attention_heads': 8, 'hidden_dimension': 144, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5513945938494158, 'global_pooling': 'mean', 'learning_rate': 0.0019091140500416472, 'weight_decay': 5.64719010351359e-05, 'beta_0': 0.8886791903295922, 'beta_1': 0.9936434422778009, 'epsilon': 2.677817297660298e-07, 'balanced_loss': True, 'epochs': 108, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:38:05,098] Trial 159 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'max', 'threshold': 0.5624482860127231, 'batch_size': 102, 'attention_heads': 8, 'hidden_dimension': 175, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5425504817435848, 'global_pooling': 'mean', 'learning_rate': 0.001189599762121939, 'weight_decay': 2.983574346651985e-06, 'beta_0': 0.8932222283679209, 'beta_1': 0.9821520312692433, 'epsilon': 5.27011171231477e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:42:27,737] Trial 160 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5088329293947397, 'batch_size': 96, 'attention_heads': 8, 'hidden_dimension': 167, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5671957799765233, 'global_pooling': 'mean', 'learning_rate': 0.00038411959879337517, 'weight_decay': 7.797878189405573e-05, 'beta_0': 0.8389632271269853, 'beta_1': 0.9816548694856249, 'epsilon': 9.438382331733371e-07, 'balanced_loss': True, 'epochs': 86, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:46:43,963] Trial 161 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5776882604298168, 'batch_size': 111, 'attention_heads': 7, 'hidden_dimension': 209, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5563767729361598, 'global_pooling': 'mean', 'learning_rate': 0.0017011340268758828, 'weight_decay': 2.3690173560891913e-06, 'beta_0': 0.8756064473115566, 'beta_1': 0.9826704492645562, 'epsilon': 3.324633668816394e-07, 'balanced_loss': True, 'epochs': 119, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:50:39,326] Trial 162 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5752657668011769, 'batch_size': 82, 'attention_heads': 8, 'hidden_dimension': 134, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5271383091214135, 'global_pooling': 'mean', 'learning_rate': 0.0012150176192026255, 'weight_decay': 6.601759699175653e-05, 'beta_0': 0.8820225940868489, 'beta_1': 0.9806526440202843, 'epsilon': 3.052266668100277e-07, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:54:34,038] Trial 163 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5380522706837619, 'batch_size': 92, 'attention_heads': 8, 'hidden_dimension': 139, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5823034924976669, 'global_pooling': 'mean', 'learning_rate': 0.0014831426991074711, 'weight_decay': 4.951488017355936e-05, 'beta_0': 0.8803063140052486, 'beta_1': 0.9809638588374613, 'epsilon': 4.317677673055106e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 07:58:31,870] Trial 164 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6004421442416649, 'batch_size': 77, 'attention_heads': 9, 'hidden_dimension': 139, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5374701618493456, 'global_pooling': 'mean', 'learning_rate': 0.0009033847527236021, 'weight_decay': 4.432337452528552e-06, 'beta_0': 0.8797602630842805, 'beta_1': 0.9801580137137856, 'epsilon': 2.3964370918724643e-07, 'balanced_loss': True, 'epochs': 103, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:02:29,383] Trial 165 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.628507998025466, 'batch_size': 84, 'attention_heads': 8, 'hidden_dimension': 127, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5424493994123425, 'global_pooling': 'mean', 'learning_rate': 0.001425084444315806, 'weight_decay': 7.351554410742175e-05, 'beta_0': 0.8784364606401714, 'beta_1': 0.9834877717569362, 'epsilon': 3.3905682114533955e-07, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 13, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:06:45,597] Trial 166 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5826027813016464, 'batch_size': 88, 'attention_heads': 9, 'hidden_dimension': 136, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5515017908003531, 'global_pooling': 'mean', 'learning_rate': 0.0029773099501541403, 'weight_decay': 8.914484816798322e-05, 'beta_0': 0.8365763590056283, 'beta_1': 0.9807841225378648, 'epsilon': 6.780216262876739e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 14, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:10:54,488] Trial 167 finished with value: 0.893348623853211 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4964798311750791, 'batch_size': 169, 'attention_heads': 8, 'hidden_dimension': 146, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5726029323635888, 'global_pooling': 'mean', 'learning_rate': 0.0007894519728330179, 'weight_decay': 7.1382665482600214e-06, 'beta_0': 0.8841799830255879, 'beta_1': 0.9932152376580565, 'epsilon': 1.4995543975455458e-07, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 11, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:15:14,985] Trial 168 finished with value: 0.8922018348623854 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5305372847103461, 'batch_size': 99, 'attention_heads': 8, 'hidden_dimension': 193, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5653753962135204, 'global_pooling': 'sum', 'learning_rate': 0.0004958847908858206, 'weight_decay': 6.311113584131374e-05, 'beta_0': 0.8730700298953962, 'beta_1': 0.9843984730599453, 'epsilon': 4.701612889284347e-07, 'balanced_loss': True, 'epochs': 104, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:19:27,433] Trial 169 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.620012749803816, 'batch_size': 66, 'attention_heads': 7, 'hidden_dimension': 160, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5924048177336874, 'global_pooling': 'mean', 'learning_rate': 0.0010310854360718982, 'weight_decay': 0.00012212583604914406, 'beta_0': 0.8872792552413868, 'beta_1': 0.981346538239046, 'epsilon': 2.7975203229242114e-07, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 14, 'plateau_patience': 24, 'plateau_divider': 3}. Best is trial 93 with value: 0.9208715596330275.
